User,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,Angle10,Angle11,Angle12,Angle13,Angle14,Angle15,Angle16,Angle17,Angle18,Angle19,Angle20,Angle21,Angle22,Angle23,Angle24,Angle25,Angle26,Angle27,Angle28,Angle29,Angle30,Angle31,Angle32,Angle33,Angle34,Angle35,Angle36,Angle37,Angle38,Angle39,Angle40,Angle41,Angle42,Angle43,Angle44,Angle45,Angle46,Angle47,Angle48,Angle49,Angle50,Angle51,Angle52,Angle53,Angle54,Angle55,Angle56,Angle57,Angle58,Angle59,Angle60,Angle61,Angle62,Angle63,Angle64,Angle65,Angle66,Angle67,Angle68,Angle69,Angle70,Angle71,Angle72,Angle73,Angle74
Vane,10.65964027,165.784124,19.06456978,151.4107355,17.31738905,159.7751341,167.9052098,7.155570946,0.037723981,179.9374307,18.85316783,47.29058436,175.236203,152.1027486,120.7544297,31.35827045,3.477843679,145.3048492,36.4163577,42.78524408,169.2788711,133.0903372,172.8739088,7.275487116,81.68969855,16.71719539,154.1860595,137.4679639,101.8616739,115.2531062,49.13109285,28.06518464,28.32712852,130.2090323,170.3111446,114.775047,55.67883355,103.8462021,78.1018378,40.60129136,74.35765354,13.94762634,4.622917995,134.9995676,175.669946,36.02438017,3.786186324,18.30451557,102.5285727,54.92623539,18.97038643,96.76118334,14.48965358,0.456201937,165.9522449,164.8477408,80.44832622,52.12503332,178.0340013,26.07834594,36.27652608,172.8749161,147.3251763,7.346930993,24.6236918,24.65602196,46.61178417,6.721996904,103.8462021,32.27280275,85.27766791,177.2897543,39.29112581,83.11673478
Vane,12.4774842,162.3776874,23.83875495,150.6259163,17.36809121,165.9637417,167.2756006,6.911261843,2.822301285,175.9139379,18.17913055,44.99998383,171.9827692,159.2277446,119.5051782,34.60568012,4.902794136,147.306099,39.81855746,45.38452567,171.6848386,135.9052327,168.6898897,7.270268959,81.82786664,16.90951909,155.344148,137.467972,105.1156867,109.65378,48.38411519,27.00620663,28.61935758,131.5068661,164.7804934,120.2563217,55.61807945,104.5041868,76.35546028,56.30980662,89.99990809,13.94762657,5.694207469,134.9995957,175.8147007,35.16655869,3.139618739,23.49879743,100.407512,63.05633909,21.16123733,96.758359,14.35738876,0.128698043,167.268532,164.5043012,79.26559137,49.63547857,177.8710581,24.816528,36.89851425,176.0194875,146.7846721,7.570927897,24.22787662,24.26691631,48.0836557,6.302381123,104.5041868,31.52425262,85.43289275,169.5257558,39.57790685,84.69567386
Vane,12.85222326,174.0938096,23.14847979,149.2158099,17.31738889,165.963741,167.9052037,7.155572331,0.955328791,174.8051107,18.8103841,42.70937396,177.3967096,152.1027482,116.5650809,34.60567988,3.328941409,149.1258275,38.42611641,45.3845247,169.8949497,142.1781959,179.9706087,7.567356525,82.22528576,15.83151632,153.8973778,138.8783636,105.7029238,110.6588722,48.51861211,27.00474136,27.12815719,133.8069944,164.4155586,120.9636349,54.79399724,105.2806798,76.85208581,56.30980662,77.00529679,15.1075347,5.016915904,134.999601,173.4534561,34.70017378,3.2064967,18.30450282,104.4931006,47.36136978,21.80144831,98.38863608,14.61600793,0.123221529,167.0416361,166.5099456,66.6746257,49.63547862,177.4640447,24.56181176,36.93278328,178.15212,147.3251765,7.685529618,20.14229291,27.78837518,48.52098079,6.246585521,105.2806798,31.60957575,86.19122882,171.869888,38.68488848,84.72206568
Vane,11.08092437,167.9052147,16.95987354,160.016812,15.06169455,159.1455293,167.9052057,6.654457529,0.971485225,179.9265575,19.47658456,44.99997823,163.9399801,150.0684975,111.2505402,34.41975341,0.629913832,148.3170772,39.1908625,45.38452386,169.2788676,136.2314516,179.8482103,8.250726625,81.94087116,15.83151908,155.4560232,137.8386285,105.2167842,106.2601728,49.29189519,27.10302664,27.16374376,133.0519214,164.4155593,118.3006532,54.84267985,105.9001927,74.1518529,49.39860209,65.69539763,13.84439678,4.638611862,134.9995944,179.5263888,34.91296903,3.504897834,14.03666602,100.4074955,63.74974581,23.42872027,94.30393877,14.06624771,0.409466064,165.0210337,164.7951795,66.73678907,49.63547968,178.3316978,24.9229154,38.78004374,173.1571523,147.82629,6.62756997,23.82959728,25.04273161,47.7263438,6.53141106,105.9001927,32.27280292,86.66096161,174.3126041,37.14698308,84.58756855
Vane,10.76859573,161.565031,17.29427874,163.0723987,15.06169575,159.1455294,167.275603,4.969786828,0.971477106,179.927194,19.47658453,45.36491299,179.234775,148.7362889,120.510264,33.71437044,3.477843143,147.1868294,38.39129152,45.26899118,167.5335777,138.9445711,179.9650662,7.640421123,82.18468404,20.17897253,155.8457852,139.0347577,104.6864189,109.653778,49.99010677,28.14465326,26.75540062,134.546247,168.7629955,120.2563162,54.50381449,105.7482154,74.15185586,60.708485,68.1985337,12.70710806,5.03598638,123.6896767,175.5324372,34.32048456,3.011213923,24.07574025,100.4074907,54.80608758,24.14551489,96.73043767,13.63975971,0.690306314,165.2753744,162.4786927,79.26558817,51.54630948,178.7866129,24.75729486,38.7800438,175.7596859,152.4297674,6.137946407,23.65436261,25.04273313,50.49276984,6.178847731,105.7482154,32.67868468,86.53651995,174.312602,37.55047028,82.98954086
Vane,12.58271042,167.9052161,17.65014658,160.8209236,18.50777765,159.7751327,167.9052082,4.969784354,2.822305475,174.8050852,17.97560129,44.99997997,179.2348001,148.736289,120.5102648,33.30228947,3.620716258,150.4703606,38.26396874,45.29202008,167.5335783,131.6575944,179.9673235,7.765180437,81.34743789,16.56182822,155.8595048,137.6572362,104.6314383,105.2550806,49.38163528,27.76899148,26.60625369,132.2930202,168.7629957,118.3006485,54.94630101,105.128703,74.42650693,60.7084865,68.19853612,13.84439738,5.440323278,134.9995889,175.5324667,34.18205276,2.942160971,19.67704338,102.5285702,55.49147101,22.47941249,96.70978921,13.80732741,0.410833177,168.0322059,163.1969911,66.67462674,41.24146316,179.3659848,24.30296581,37.40536015,175.8834193,149.5109729,7.327954864,23.25584939,25.04271421,50.4403606,6.567097806,105.128703,32.37067755,86.13635151,174.687215,37.58385479,85.69319388
Vane,12.58270966,165.7841217,23.48288606,151.4107373,18.50777704,159.7751329,176.8776873,4.969784383,0.971468291,175.2359787,18.17913119,44.9999779,179.2348235,152.1027485,116.5650822,34.60568007,3.620715052,147.1429648,37.49148968,46.52790202,167.533578,134.6864176,179.9698872,7.667660742,82.18468476,16.5618277,155.8595116,137.6572391,100.895185,115.2531111,48.51861231,28.09684186,25.85775477,130.7479597,168.7629967,120.2563163,55.0693198,105.2806806,74.42650658,49.398603,77.00529761,16.85838793,5.3003064,134.9995971,173.4534488,34.16611847,2.960276724,23.49880596,102.382434,54.80608698,22.47948109,95.90609713,14.14013994,0.005889149,165.5058536,162.1001705,59.61177349,48.74494211,178.6873456,24.21252503,37.74063964,175.8834204,149.5109724,7.407190544,19.51867356,28.92089269,50.93184099,6.257225489,105.2806806,32.40526233,86.13635224,175.3520087,37.14698004,82.98954124
Vane,12.47748617,167.9052166,17.29427706,160.0168188,16.85626463,164.7448616,176.2480841,11.76830998,0.955330939,179.9287472,18.59310035,44.99997814,179.2348289,150.2551451,119.3806321,34.60568042,2.05465591,148.491124,37.3504457,46.122199,167.5335792,132.5000591,168.6898857,7.275487051,81.94087651,20.17897016,155.0553768,138.8783614,105.1156866,115.769281,48.51861211,26.67460665,27.01675851,133.1990489,164.7804948,120.2563195,54.16814137,105.128703,76.25099098,44.9999471,68.19853603,12.70710818,5.300306497,123.6896821,173.4534594,34.56544471,3.109909595,18.8814211,105.8536612,47.36137041,22.47941192,97.53413166,13.59699091,0.279549736,165.2753806,162.1001715,79.26559148,48.17416842,178.636628,24.21252542,37.92084217,175.6011904,151.9714146,7.407190691,20.41381885,28.08096437,50.93183999,6.24500013,105.128703,31.23224572,85.81360615,166.7677265,37.58683684,82.98954128
Vane,12.47748579,167.9052164,17.29427668,160.0168204,18.50777758,165.9637399,167.9052058,4.969784339,2.854647368,175.9139356,18.64180065,44.99997732,171.9827641,152.1027489,120.5102643,33.71437034,3.620715349,147.142965,37.35044664,47.2976656,171.8698845,136.2314738,168.6898842,7.386060183,81.09231605,16.56182704,156.2517526,137.6572366,105.1667072,115.769279,49.38163512,22.65651111,26.16705198,132.2930206,168.7629949,120.2563193,54.67225539,105.1287034,74.12465917,44.9999471,77.00529653,15.06847735,5.294137619,134.9995797,175.814696,33.97178093,2.942158684,24.07572907,102.3824327,54.80608783,21.80145176,97.53413093,13.80732736,0.410829527,167.7774331,162.825099,66.67462755,48.17416795,179.3660198,24.68104609,36.89851388,176.0194898,149.5109748,7.543983428,23.82957776,24.65601457,48.30316342,6.268515343,105.1287034,31.36191861,86.032319,169.5257559,37.58385218,83.90677031
Vane,12.5827101,165.7841215,23.8387548,151.5043209,18.50777738,159.7751331,167.9052057,4.969784225,0.955327853,175.2359802,17.97560114,44.99998092,171.9827663,148.7362899,120.5102645,34.60567996,3.620715594,147.142965,37.25472828,47.29766447,169.8949505,136.2314773,179.9703518,7.270269651,81.0923149,16.56182729,156.2517519,137.6572366,100.4649366,106.6069409,49.38163521,23.98873017,25.85775538,132.2930238,173.4909337,120.2563158,54.94629894,105.1287034,74.12465807,49.39859984,77.00529949,15.06847757,5.294137947,134.9995903,173.4534609,33.84577806,2.960276295,24.07572968,104.4930955,54.80608725,22.47940952,96.7097895,13.80732752,0.005735053,165.5299444,162.8250988,66.67462736,41.24146229,178.6873568,24.21252551,36.89851379,176.0194908,149.5109732,7.407190593,19.61477343,28.47007085,50.93183992,6.245000096,105.1287034,31.36191876,86.03231988,169.5257558,36.73180671,83.85256434
